Gender,How often do you use OTT platforms?,Which is the primary OTT service provider you use ,How satisfied are you with the wide assortment of shows in your OTT provider?,How satisfied are you with the trending content on your OTT provider? Do they provide the latest content?,How satisfied are you with the pricing offered by your OTT provider,Are you satisfied with the customer service of your OTT provider,Are you satisfied with the viewing experience of your shows from your provider,Which of these is most important
Female,2-3 times a week,Youtube,4,3,4,4,3,Ad free experience
Male,More than 3 days each week,Youtube,5,4,3,4,5,Ad free experience
Male,More than 3 days each week,Netflix,5,5,3,3,4,Quality of the HD video
Female,2-3 times a week,Netflix,4,5,3,3,5,Quality of streaming and its speed
Male,More than 3 days each week,Jio-Hotstar,3,3,3,3,3,Having byte size shows
Female,2-3 times a week,Netflix,4,4,3,3,4,Low pricing
Male,More than 3 days each week,Amazon prime,3,4,3,4,5,Having wide variety of genres available
Male,More than 3 days each week,Netflix,4,4,4,5,5,Having wide variety of genres available
Male,Once or twice a month,Netflix,4,4,3,4,4,Quality of the HD video
Male,2-3 times a week,Netflix,5,4,5,5,4,Low pricing
Male,More than 3 days each week,Youtube,3,3,3,3,4,Ad free experience
Male,Once or twice a month,Netflix,4,4,3,3,4,Having wide variety of genres available
Male,2-3 times a week,Netflix,3,3,3,3,3,Quality of the HD video
Female,Once or twice a month,Netflix,4,4,5,4,5,Quality of the HD video
Male,2-3 times a week,Jio-Hotstar,4,5,5,4,5,Having wide variety of genres available
Male,More than 3 days each week,Jio-Hotstar,4,3,5,5,5,Having wide variety of genres available
Male,Less than once a month,Youtube,4,4,3,4,3,Low pricing
Female,More than 3 days each week,Netflix,4,5,5,5,5,Quality of the HD video
Male,Once or twice a month,Netflix,3,3,4,3,4,Quality of the HD video
Male,2-3 times a week,Other,4,5,1,1,5,Ad free experience
Male,More than 3 days each week,Youtube,5,4,5,2,4,Quality of streaming and its speed
Male,2-3 times a week,Youtube,5,4,4,4,5,Quality of the HD video
Male,2-3 times a week,Netflix,4,4,2,3,5,Quality of streaming and its speed
Female,2-3 times a week,Amazon prime,4,4,3,4,4,Low pricing
Male,2-3 times a fortnight,Netflix,3,4,5,3,4,Having wide variety of genres available
Male,More than 3 days each week,Netflix,5,5,3,5,5,Quality of streaming and its speed
Male,Once or twice a month,Amazon prime,3,3,4,3,4,Quality of customer service
Female,2-3 times a fortnight,Jio-Hotstar,3,4,3,4,4,Low pricing
Male,2-3 times a week,Netflix,5,5,5,5,5,Having wide variety of genres available
Female,2-3 times a week,Jio-Hotstar,4,4,3,5,5,Quality of customer service
Female,More than 3 days each week,Netflix,5,5,5,5,5,Having wide variety of genres available
Male,More than 3 days each week,Netflix,4,5,4,5,5,Having wide variety of genres available
Male,More than 3 days each week,Netflix,4,4,3,3,3,Quality of the HD video
Male,2-3 times a week,Netflix,4,5,2,5,5,Having wide variety of genres available
Male,2-3 times a week,Netflix,4,4,4,5,5,Quality of the HD video
Male,2-3 times a week,Netflix,3,3,3,3,3,Quality of the HD video
Male,More than 3 days each week,Youtube,3,3,3,3,4,Quality of the HD video
Male,Less than once a month,Youtube,3,4,4,3,4,Quality of streaming and its speed
Female,More than 3 days each week,Youtube,5,4,2,3,4,Low pricing
Male,Less than once a month,Jio-Hotstar,4,5,4,4,4,Low pricing
Female,Less than once a month,Netflix,4,4,4,4,4,Quality of the HD video
Male,More than 3 days each week,Netflix,4,4,2,4,4,Quality of streaming and its speed
Female,2-3 times a week,Netflix,5,4,3,5,5,Ad free experience
Female,2-3 times a week,Netflix,3,3,3,4,4,Quality of the HD video
Male,Once or twice a month,Netflix,3,3,2,1,2,Quality of the HD video
Male,2-3 times a fortnight,Youtube,3,2,3,3,3,Quality of streaming and its speed
Male,2-3 times a fortnight,Netflix,1,3,3,2,3,Low pricing
Male,2-3 times a fortnight,Other,3,4,4,5,2,Having popular actors on the show
Male,2-3 times a fortnight,Netflix,2,3,3,2,4,Ad free experience
Female,Once or twice a month,Netflix,1,1,4,3,3,Low pricing
